combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,0,0.0,0.0
1,RandomForest,SCALING,No,0,0.0,0.0
2,RandomForest,NORMALIZATION,Yes,0,0.0,0.0
3,RandomForest,NORMALIZATION,No,0,0.0,0.0
4,RandomForest,NONE,Yes,0,0.0,0.0
5,RandomForest,NONE,No,0,0.0,0.0
6,LinearRegression,SCALING,Yes,0,0.0,0.0
7,LinearRegression,SCALING,No,0,0.0,0.0
8,LinearRegression,NORMALIZATION,Yes,0,0.0,0.0
9,LinearRegression,NORMALIZATION,No,0,0.0,0.0
10,LinearRegression,NONE,Yes,0,0.0,0.0
11,LinearRegression,NONE,No,0,0.0,0.0
12,DecisionTree,SCALING,Yes,0,0.0,0.0
13,DecisionTree,SCALING,No,0,0.0,0.0
14,DecisionTree,NORMALIZATION,Yes,0,0.0,0.0
15,DecisionTree,NORMALIZATION,No,0,0.0,0.0
16,DecisionTree,NONE,Yes,0,0.0,0.0
17,DecisionTree,NONE,No,0,0.0,0.0
